Prodno,Product,Year,Month,Sales,Number_of_items
  E40305 ,OldSchoolCaravanCoolerAirstream,2016,January,2565,1
  E40315 ,Pick-UpTruckRed,2016,January,3015,1
  E40316 ,TheWoodyCooler,2016,January,3645,1
  E40355 ,FlipFlopWineHolder,2016,January,300,1
  E40411 ,ButterflyStakeSetsmall-Setof10,2016,January,415,1
  E40416 ,DragonflyStakeSetlarge-Setof10,2016,January,590,1
  E40460 ,TheBirdPalace,2016,January,300,1
  E40470 ,IntheDogHouse,2016,January,2565,1
991020,RetroHolidayCaravan,2017,January,2575,1
991031,RoosterBarnyard,2017,January,1260,2
991121,Pick-UpTruckBlue,2017,January,3350,1
  E10250 ,BrucetheBullCoolerlarge,2017,January,0,0
  E10300 ,RogertheRoostersmall,2017,January,0,0
  E10600 ,TheBlindMouse,2017,January,8320,16
  E10800 ,MaisytheDaisysmall,2017,January,663,3
  E10820 ,MaisytheDaisylarge,2017,January,538.2,2
  E11260 ,HoundDogPlantermedium,2017,January,2590,2
  E11500 ,Tabitha,2017,January,1780,2
  E11600 ,BillytheBabyBird,2017,January,1035,3
  E11630 ,FlorencetheFlamingoBeverageTub,2017,January,9580,4
  E11800 ,CheekyMonkeyFat/1,2017,January,1980,4
  E11801 ,CheekyMonkeyThin/2,2017,January,1485,3
  E11900 ,HarrytheHedgehog,2017,January,5211,9
  E13110 ,KittytheKat,2017,January,740,2
  E13120 ,DannytheDog,2017,January,1110,3
  E13140 ,RingotheRabbit,2017,January,370,1
  E14120 ,MotherFlamingoandTwoFlamingoBabies,2017,January,1299,1
  E15000 ,LouietheGnome-WelcomeSign,2017,January,1395,1
  E15001 ,LarrytheGnomeLoveThyGarden,2017,January,1395,1
  E16140 ,ButterflySpheresmall,2017,January,1560,2
  E16150 ,ButterflySpherelarge,2017,January,1030,1
  E16170 ,ButterflyPeaceSign,2017,January,1660,2
  E40301 ,ChilledPineapple,2017,January,3980,4
  E40303 ,BlastOff,2017,January,4870,2
  E40305 ,OldSchoolCaravanCoolerAirstream,2017,January,2850,1
  E40310 ,KoolKombiBlue,2017,January,-3350,-1
  E40310LB ,KoolKombi-LightBlue,2017,January,3350,1
  E40310R ,KoolKombiRed,2017,January,3350,1
  E40312 ,KombiPlanter,2017,January,3885,3
  E40316 ,TheWoodyCooler,2017,January,4050,1
  E40340 ,PetethePelicanBeverageTub,2017,January,0,0
  E40341 ,TerrencetheTurtle,2017,January,3180,2
  E40342 ,PollytheParrotBeverageTub,2017,January,4185,3
  E40351 ,ByronLighthouseWineCooler,2017,January,0,3
  E40355 ,FlipFlopWineHolder,2017,January,276,1
  E40360G ,MiniCooperCoolerGreen,2017,January,3350,1
  E40365 ,SilverArrowCooler,2017,January,6700,2
  E40381 ,AlbatrosVintageSeaPlaneBeverageTub,2017,January,1196,1
  E40390 ,BuriedTreasureChestCooler,2017,January,4870,2
  E40400 ,ButterflyFramedWallPanel,2017,January,2655,3
  E40410 ,DragonflyFramedWallPanel,2017,January,2655,3
  E40411 ,ButterflyStakeSetsmall-Setof10,2017,January,415,1
  E40412 ,ButterflyStakeSetlarge-Setof10,2017,January,590,1
  E40413 ,DragonflyStakeSetsmall-Setof10,2017,January,415,1
  E40416 ,DragonflyStakeSetlarge-Setof10,2017,January,590,1
  E40420 ,HotAirBallonsmall,2017,January,820,1
  E40460 ,TheBirdPalace,2017,January,1200,4
  E40461 ,BirdHideaway,2017,January,1740,4
  E40462 ,BirdHoliday,2017,January,1875,5
  E40470 ,IntheDogHouse,2017,January,1995,1
  E40475 ,PetLounge,2017,January,2719.5,3
  E40487 ,AvalonBarrelPlanterSetBlue,2017,January,1150,2
  E40489 ,CamillatheCaterpillarPlanter,2017,January,3660,6
  E40495 ,RockAroundtheClock,2017,January,1350,3
  E40500 ,PiggyBank,2017,January,2150,5
  E40502 ,ElieBank,2017,January,2150,5
Ice,FakeDécor,2017,January,1662.5,23
991120,CharlietheChameleon,2018,January,672.75,2
  DIS-FITKAS48 ,DisplayFitKicks64,2018,January,0,1
  E10250 ,BrucetheBullCoolerlarge,2018,January,1995,1
  E10300 ,RogertheRoostersmall,2018,January,570,1
  E10330 ,ThePixieChicksSetof3,2018,January,8997.75,14
  E10600 ,TheBlindMouse,2018,January,14560,28
  E10800 ,MaisytheDaisysmall,2018,January,255,1
  E10820 ,MaisytheDaisylarge,2018,January,299,1
  E11220 ,SurfDog,2018,January,1300,2
  E11250 ,DashTrioDogssetof3,2018,January,10392,8
  E11500 ,Tabitha,2018,January,1830,2
  E11600 ,BillytheBabyBird,2018,January,2742.75,8
  E11630 ,FlorencetheFlamingoBeverageTub,2018,January,39924.2,16
  E11900 ,HarrytheHedgehog,2018,January,1129.05,2
  E11905 ,ManfredtheMoose,2018,January,3500,2
  E13110 ,KittytheKat,2018,January,1480,4
  E13120 ,DannytheDog,2018,January,1480,4
  E13130 ,PetethePig,2018,January,1110,3
  E13140 ,RingotheRabbit,2018,January,1850,5
  E17000 ,OwlTrioSetof3,2018,January,3330,3
  E20240 ,HippiePeaceAnt-Neil,2018,January,630,1
  E40107 ,DiningTableRectangle,2018,January,0,0
  E40200 ,LowCoffeeTableMetalTop,2018,January,0,0
  E40210 ,LowLounger,2018,January,1460,1
  E40306 ,RetroHolidayCaravanCooler,2018,January,2575,1
  E40310LB ,KoolKombi-LightBlue,2018,January,3350,1
  E40312 ,KombiPlanter,2018,January,1295,1
  E40322 ,HoleinOneCooler,2018,January,11580,4
  E40338 ,KingoftheRoadCoolerSmall,2018,January,7897.5,2
  E40351 ,ByronLighthouseWineCooler,2018,January,650,1
  E40360 ,MiniCooperCoolerBlue,2018,January,3350,1
  E40365 ,SilverArrowCooler,2018,January,3350,1
  E40400 ,ButterflyFramedWallPanel,2018,January,895,1
  E40410 ,DragonflyFramedWallPanel,2018,January,3535.25,4
  E40411 ,ButterflyStakeSetsmall-Setof10,2018,January,830,3
  E40412 ,ButterflyStakeSetlarge-Setof10,2018,January,590,1
  E40413 ,DragonflyStakeSetsmall-Setof10,2018,January,415,1
  E40416 ,DragonflyStakeSetlarge-Setof10,2018,January,1180,2
  E40420 ,HotAirBallonsmall,2018,January,8159,10
  E40430 ,HotAirBallonlarge,2018,January,1080,1
  E40445S ,Planterbotsmall,2018,January,2360,2
  E40456 ,MadridPlanterSquareSet,2018,January,1399,1
  E40461 ,BirdHideaway,2018,January,2175,5
  E40462 ,BirdHoliday,2018,January,3750,10
  E40485 ,BondiBalconyPlanterSet,2018,January,875,1
  E40489 ,CamillatheCaterpillarPlanter,2018,January,1830,3
  E40495 ,RockAroundtheClock,2018,January,1350,2
  E40500 ,PiggyBank,2018,January,430,1
  E40502 ,ElieBank,2018,January,838.5,2
  FIT-LTEYW ,"FITZIPLightUpWaistPack,Yellow",2018,January,498,6
  FITW-BLK ,"FITWRISTWallet,Black",2018,January,150,6
  FITW-FUS ,"FITWRISTWallet,Pink",2018,January,150,6
  FITW-GRY ,"FITWRISTWallet,Gray",2018,January,150,6
  FITW-TRQ ,"FITWRISTWallet,Turquoise",2018,January,150,6
  FITZ-FUS ,"FITZIPWaistPack,Pink",2018,January,324,6
  FKID-L-GRY ,"FitKidsShoes,Gray,Large",2018,January,248,2
  FKID-L-PNK ,"FitKidsShoes,Pink,Large",2018,January,248,2
  FKID-M-GRY ,"FitKidsShoes,Gray,Medium",2018,January,248,2
  FKID-M-PNK ,"FitKidsShoes,Pink,Medium",2018,January,248,2
  FKID-S-GRY ,"FitKidsShoes,Gray,Small",2018,January,248,2
  FKID-S-PNK ,"FitKidsShoes,Pink,Small",2018,January,248,2
  FKID-XL-GRY ,"FitKidsShoes,Gray,X-Large",2018,January,248,2
  FKID-XL-PNK ,"FitKidsShoes,Pink,X-Large",2018,January,248,2
  Ice ,FakeDécor,2018,January,0,2
  KOZI-XL-PUR ,"KozikicksSlipper,Purple,X-Large",2018,January,187,1
  MFITK-L-BLK ,"FitKicksMens,Black,Large",2018,January,664,4
  MFITK-M-BLK ,"FitKicksMens,Black,Medium",2018,January,664,4
  MFITK-S-BLK ,"FitKicksMens,Black,Small",2018,January,332,2
  MFITK-XL-BLK ,"FitKicksMens,Black,X-Large",2018,January,332,2
  SPFIT-L-DPR ,"FitkicksSpecialEdition,DeepRythm,Large",2018,January,664,4
  SPFIT-L-LUS ,"FitkicksSpecialEdition,LushLife,Large",2018,January,664,4
  SPFIT-M-CLD ,"FitkicksSpecialEdition,CloudBurst,Medium",2018,January,166,1
  SPFIT-M-DPR ,"FitkicksSpecialEdition,DeepRythm,Medium",2018,January,664,4
  SPFIT-M-LUS ,"FitkicksSpecialEdition,LushLife,Medium",2018,January,664,4
  SPFIT-S-DPR ,"FitkicksSpecialEdition,DeepRythm,Small",2018,January,332,2
  SPFIT-S-LUS ,"FitkicksSpecialEdition,LushLife,Small",2018,January,332,2
  SPFIT-XL-DPR ,"FitkicksSpecialEdition,DeepRythm,X-Large",2018,January,332,2
  SPFIT-XL-LUS ,"FitkicksSpecialEdition,LushLife,X-Large",2018,January,332,2
  SPFITZ-GRP ,"FITZIPWaistPack,Graphite",2018,January,324,6
  SPFITZ-LUS ,"FITZIPWaistPack,LushLife",2018,January,324,6
21700,FallingLeavesSmall,2019,January,475,1
21701,FallingLeavesLarge,2019,January,1080,1
23003,TheParrotsMum&BubSet,2019,January,450,3
916153,BuddytheBirdfeeder,2019,January,1304,4
  CR1100 ,MadamBunnykin,2019,January,240,1
  CR1105 ,MissBunnykin,2019,January,240,1
  CR1110 ,SirBunnykin,2019,January,240,1
  CR1200 ,DownwardDog,2019,January,220,1
  CR1205 ,IAmAGoodDoggy,2019,January,220,1
  CR1210 ,DagwoodDog,2019,January,548,1
  CR7028 ,PigOutMoneyBox,2019,January,0,0
  CRN1006 ,PadMePondFrog,2019,January,200,1
  E10330 ,ThePixieChicksSetof3,2019,January,1390,2
  E10600 ,TheBlindMouse,2019,January,6193,11
  E11250 ,DashTrioDogssetof3,2019,January,2598,2
  E11600 ,BillytheBabyBird,2019,January,1167,3
  E11630 ,FlorencetheFlamingoBeverageTub,2019,January,5270,2
  E11700 ,StantheBaseballSquirrel,2019,January,2250,3
  E11701 ,SimontheSlingshotSquirrel,2019,January,2250,3
  E11702 ,SamtheSuperSquirrel,2019,January,3000,4
  E11800 ,CheekyMonkeyFat/1,2019,January,519,1
  E12202 ,TravistheTroutWallFrame,2019,January,950,1
  E17000 ,OwlTrioSetof3,2019,January,1110,1
  E40203 ,OsloChairEEIEEIO,2019,January,1850,1
  E40206 ,CharlestonTableEEIEEIO,2019,January,1095,1
  E40210 ,LowLounger,2019,January,1495,1
  E40310 ,KoolKombiBlue,2019,January,3650,1
  E40310LG ,KoolKombi-LightGreen,2019,January,3650,1
  E40310O ,KoolKombiOrange,2019,January,3650,1
  E40340 ,PetethePelicanBeverageTub,2019,January,0,0
  E40355 ,FlipFlopWineHolder,2019,January,0,0
  E40363 ,CaddyCoolerPink,2019,January,7300,2
  E40411 ,ButterflyStakeSetsmall-Setof10,2019,January,332,1
  E40416 ,DragonflyStakeSetlarge-Setof10,2019,January,472,1
  E40420 ,HotAirBallonsmall,2019,January,2985,3
  E40460 ,TheBirdPalace,2019,January,1140,3
  E40462 ,BirdHoliday,2019,January,830,2
  E40489 ,CamillatheCaterpillarPlanter,2019,January,610,1
  E40496 ,BirdofFeather,2019,January,1300,2
  E40502 ,ElieBank,2019,January,0,0
  E70170 ,FrostytheSnowman,2019,January,2065,1
  EC4000 ,CuckoosNestBirdHouse,2019,January,1480,4
  EC4005 ,WalktheLineBirdHouse,2019,January,330,1
  FITK-L-TRQ ,"FitKicksActiveFootwear,Turquoise,Large",2019,January,0,0
  FITK-M-FUS ,"FitKicksActiveFootwear,Pink,Medium",2019,January,0,0
  FITK-S-BLK ,"FitKicksActiveFootwear,Black,Small",2019,January,0,0
  FITK-XL-GRY ,"FitKicksActiveFootwear,Gray,X-Large",2019,January,0,0
  FIT-LTEYW ,"FITZIPLightUpWaistPack,Yellow",2019,January,0,0
  FITW-BLK ,"FITWRISTWallet,Black",2019,January,0,0
  FITW-TRQ ,"FITWRISTWallet,Turquoise",2019,January,0,0
  FITZ-BLK ,"FITZIPWaistPack,Black",2019,January,0,0
  FITZ-TRQ ,"FITZIPWaistPack,Mint",2019,January,0,0
  FKID-L-GRY ,"FitKidsShoes,Gray,Large",2019,January,0,0
  FKID-M-BLU ,"FitKidsShoes,Blue,Medium",2019,January,0,0
  FKID-S-PUR ,"FitKidsShoes,Purple,Small",2019,January,0,0
  FKID-XL-PNK ,"FitKidsShoes,Pink,X-Large",2019,January,0,0
  MEV1001 ,WallHangingFlowerTub,2019,January,1585,1
  MFITK-L-NAV ,"FitKicksMens,Navy,Large",2019,January,0,0
  MFITK-M-BLK ,"FitKicksMens,Black,Medium",2019,January,0,0
  MFITK-S-BLK ,"FitKicksMens,Black,Small",2019,January,0,0
  MFITK-XL-NAV ,"FitKicksMens,Navy,X-Large",2019,January,0,0
  SPFIT-L-CLD ,"FitkicksSpecialEdition,CloudBurst,Large",2019,January,0,0
  SPFIT-M-GRP ,"FitkicksSpecialEdition,Graphite,Medium",2019,January,0,0
  SPFIT-S-LUS ,"FitkicksSpecialEdition,LushLife,Small",2019,January,0,0
  SPFIT-XL-PRM ,"FitkicksSpecialEdition,Primal,X-Large",2019,January,0,0
  SPFITZ-GRP ,"FITZIPWaistPack,Graphite",2019,January,0,0
  SPFITZ-LUS ,"FITZIPWaistPack,LushLife",2019,January,0,0
40600,KoolKombiFirepitandGrill,2020,January,0,1
  E11610 ,BarbtheMotherBird,2020,January,1295,1
  E11620 ,BaztheFatherBird,2020,January,1495,1
  E11630 ,FlorencetheFlamingoBeverageTub,2020,January,2635,1
  E40310LG ,KoolKombi-LightGreen,2020,January,3650,1
  E40410 ,DragonflyFramedWallPanel,2020,January,2985,3
  E40431 ,SammytheSnailPlanter,2020,January,1595,1
  E10110 ,ClarencetheCowmedium,2015,February,1130,1
  E10210 ,BrucetheBullmedium,2015,February,1195,1
  E10230 ,BrucetheBullMailbox,2015,February,1890,1
  E10250 ,BrucetheBullCoolerlarge,2015,February,3470,2
  E10300 ,RogertheRoostersmall,2015,February,1680,3
  E10310 ,RogertheRoostermedium,2015,February,715,1
  E10410 ,PriscillathePigmedium,2015,February,895,1
  E10500 ,DoristheDucksmall,2015,February,1030,2
  E10600 ,TheBlindMouse,2015,February,25175,54
  E10700 ,SidtheSheeplarge,2015,February,2980,2
  E10710 ,SidtheSheepsmall,2015,February,3390,3
  E10800 ,MaisytheDaisysmall,2015,February,1680,9
  E10820 ,MaisytheDaisylarge,2015,February,1960,7
  E11110 ,BillytheGoatmedium,2015,February,1250,1
  E11200 ,HoundDogsmall,2015,February,2070,2
  E11300 ,RalphDogsmall,2015,February,1030,1
  E11310 ,RalphDogmedium,2015,February,3390,3
  E11400 ,Whiskerssmall,2015,February,2985,3
  E11410 ,Whiskersmedium,2015,February,1095,1
  E11500 ,Tabitha,2015,February,6560,8
  E11610 ,BarbtheMotherBird,2015,February,950,1
  E11620 ,BaztheFatherBird,2015,February,1130,1
  E12100 ,PetethePelican,2015,February,5915,7
  E12200 ,BozotheClownFish,2015,February,1030,2
  E12300 ,TerrytheTropicalFishsmall,2015,February,1290,3
  E12400 ,ArieltheAngelFishsmall,2015,February,990,2
  E12420 ,ArieltheAngelFishlarge,2015,February,585,1
  E13110 ,KittytheKat,2015,February,345,1
  E13120 ,DannytheDog,2015,February,370,1
  E16140 ,ButterflySpheresmall,2015,February,1560,2
  E16150 ,ButterflySpherelarge,2015,February,1030,1
  E21530 ,ButterflyWallPanel,2015,February,860,2
  E40200 ,LowCoffeeTableMetalTop,2015,February,875,1
  E40310 ,KoolKombiBlue,2015,February,6500,2
  E40400 ,ButterflyFramedWallPanel,2015,February,2460,3
  E40410 ,DragonflyFramedWallPanel,2015,February,2460,3
  E40420 ,HotAirBallonsmall,2015,February,1470,2
E10100,ClarencetheCowsmall,2016,February,2385,3
E10160,ClarencetheCowPlanter,2016,February,1650,1
E10300,RogertheRoostersmall,2016,February,1710,3
E10310,RogertheRoostermedium,2016,February,1430,2
E10320,RogertheRoosterlarge,2016,February,950,1
E10500,DoristheDucksmall,2016,February,1554,3
E10600,TheBlindMouse,2016,February,33280,64
E10700,SidtheSheeplarge,2016,February,1490,1
E10720,BootheScarecrowsmall,2016,February,1370,1
E10800,MaisytheDaisysmall,2016,February,765,3
E10820,MaisytheDaisylarge,2016,February,598,2
E10900,HenrytheHorsesmall,2016,February,2260,2
E11200,HoundDogsmall,2016,February,1040,1
E11300,RalphDogsmall,2016,February,2060,2
E11400,Whiskerssmall,2016,February,2985,3
E11500,Tabitha,2016,February,3460,4
E11610,BarbtheMotherBird,2016,February,950,1
E11620,BaztheFatherBird,2016,February,1130,1
E12100,PetethePelican,2016,February,2595,3
E12200,BozotheClownFish,2016,February,545,1
E12420,ArieltheAngelFishlarge,2016,February,595,1
E13120,DannytheDog,2016,February,3330,9
E13130,PetethePig,2016,February,740,2
E13140,RingotheRabbit,2016,February,2220,6
E13150,andItheRamSheep,2016,February,370,1
E16140,ButterflySpheresmall,2016,February,780,1
E16150,ButterflySpherelarge,2016,February,1030,1
E16180,ButterflyHeart-Setof3,2016,February,1300,1
E21530,ButterflyWallPanel,2016,February,860,2
E40310,KoolKombiBlue,2016,February,33400,10
E40340,PetethePelicanBeverageTub,2016,February,2580,2
E40400,ButterflyFramedWallPanel,2016,February,3460,4
E40410,DragonflyFramedWallPanel,2016,February,2595,3
991031,RoosterBarnyard,2017,February,1260,2
991121,Pick-UpTruckBlue,2017,February,3350,1
  E10100 ,ClarencetheCowsmall,2017,February,795,1
  E10160 ,ClarencetheCowPlanter,2017,February,4950,3
  E10240 ,BrucetheBullCoolermedium,2017,February,7725,5
  E10250 ,BrucetheBullCoolerlarge,2017,February,4944.75,3
  E10300 ,RogertheRoostersmall,2017,February,2194.5,4
  E10310 ,RogertheRoostermedium,2017,February,715,1
  E10500 ,DoristheDucksmall,2017,February,1036,2
  E10600 ,TheBlindMouse,2017,February,38766,87
  E10720 ,BootheScarecrowsmall,2017,February,2740,2
  E10800 ,MaisytheDaisysmall,2017,February,1020,4
  E10820 ,MaisytheDaisylarge,2017,February,1196,4
  E10910 ,HenrytheHorsemedium,2017,February,1370,1
  E11260 ,HoundDogPlantermedium,2017,February,1295,1
  E11500 ,Tabitha,2017,February,5352.75,6
  E11600 ,BillytheBabyBird,2017,February,7193.25,22
  E11610 ,BarbtheMotherBird,2017,February,3980,4
  E11620 ,BaztheFatherBird,2017,February,3585,3
  E11630 ,FlorencetheFlamingoBeverageTub,2017,February,20515,9
  E11800 ,CheekyMonkeyFat/1,2017,February,1485,3
  E11801 ,CheekyMonkeyThin/2,2017,February,1485,3
  E11900 ,HarrytheHedgehog,2017,February,1737,3
  E12100 ,PetethePelican,2017,February,3580,4
  E12200 ,BozotheClownFish,2017,February,545,1
  E13110 ,KittytheKat,2017,February,2904.5,8
  E13120 ,DannytheDog,2017,February,684.5,2
  E13130 ,PetethePig,2017,February,1850,5
  E13140 ,RingotheRabbit,2017,February,2904.5,8
  E20240 ,HippiePeaceAnt-Neil,2017,February,630,1
  E40101 ,BistroTableMetalTop,2017,February,2340,2
  E40109 ,DiningChair,2017,February,5428.5,5
  E40110 ,BistroChair,2017,February,981.75,1
  E40200 ,LowCoffeeTableMetalTop,2017,February,875,1
  E40210 ,LowLounger,2017,February,2920,2
  E40212 ,TheThrone,2017,February,4750,2
  E40213 ,TheThroneFootrest,2017,February,810,2
  E40300 ,BustertheBin,2017,February,3900,2
  E40301 ,ChilledPineapple,2017,February,995,1
  E40305 ,OldSchoolCaravanCoolerAirstream,2017,February,5700,2
  E40306 ,RetroHolidayCaravanCooler,2017,February,2575,1
  E40310 ,KoolKombiBlue,2017,February,6700,2
  E40310LB ,KoolKombi-LightBlue,2017,February,3350,1
  E40310LG ,KoolKombi-LightGreen,2017,February,3350,1
  E40310O ,KoolKombiOrange,2017,February,3350,1
  E40310R ,KoolKombiRed,2017,February,6700,2
  E40312 ,KombiPlanter,2017,February,1295,1
  E40315 ,Pick-UpTruckRed,2017,February,23450,7
  E40316 ,TheWoodyCooler,2017,February,4050,1
  E40322 ,HoleinOneCooler,2017,February,14395,5
  E40330 ,TheGoodOilBuddyBarrelCooler,2017,February,1990,1
  E40340 ,PetethePelicanBeverageTub,2017,February,2386.5,2
  E40342 ,PollytheParrotBeverageTub,2017,February,1395,1
  E40350 ,CastawayCooler,2017,February,3760,1
  E40351 ,ByronLighthouseWineCooler,2017,February,2600,6
  E40352 ,BowlMeOverWineChiller,2017,February,1950,5
  E40355 ,FlipFlopWineHolder,2017,February,1725,5
  E40360 ,MiniCooperCoolerBlue,2017,February,6700,2
  E40360G ,MiniCooperCoolerGreen,2017,February,6700,2
  E40361R ,ItaliaJobMiniSantaRed,2017,February,3350,1
  E40365 ,SilverArrowCooler,2017,February,3350,1
  E40380 ,TheDoolittleBiplaneDrinksTub,2017,February,1495,1
  E40381 ,AlbatrosVintageSeaPlaneBeverageTub,2017,February,2990,2
  E40390 ,BuriedTreasureChestCooler,2017,February,2435,1
  E40400 ,ButterflyFramedWallPanel,2017,February,895,1
  E40410 ,DragonflyFramedWallPanel,2017,February,895,1
  E40411 ,ButterflyStakeSetsmall-Setof10,2017,February,830,2
  E40412 ,ButterflyStakeSetlarge-Setof10,2017,February,1180,2
  E40413 ,DragonflyStakeSetsmall-Setof10,2017,February,830,2
  E40416 ,DragonflyStakeSetlarge-Setof10,2017,February,1180,2
  E40420 ,HotAirBallonsmall,2017,February,4920,6
  E40430 ,HotAirBallonlarge,2017,February,1080,1
  E40440 ,DecorativeWallPotSet4,2017,February,1545,3
  E40441 ,MicroTrioPotswithShelf,2017,February,395,1
  E40456 ,MadridPlanterSquareSet,2017,February,1399,1
  E40460 ,TheBirdPalace,2017,February,5700,19
  E40461 ,BirdHideaway,2017,February,2544.75,7
  E40462 ,BirdHoliday,2017,February,375,1
  E40480 ,CollaroyPlanterRoundSet,2017,February,1499,1
  E40485 ,BondiBalconyPlanterSet,2017,February,3500,4
  E40487 ,AvalonBarrelPlanterSetBlue,2017,February,575,1
  E40489 ,CamillatheCaterpillarPlanter,2017,February,3050,6
  E40495 ,RockAroundtheClock,2017,February,2025,3
  E40502 ,ElieBank,2017,February,860,2
  FITH-FUS ,"FITGRIPHeadband,Pink",2017,February,0,1
  FITK-L-FUS ,"FitKicksActiveFootwear,Pink,Large",2017,February,462,3
  FITK-L-TRQ ,"FitKicksActiveFootwear,Turquoise,Large",2017,February,462,3
  FITK-M-FUS ,"FitKicksActiveFootwear,Pink,Medium",2017,February,462,3
  FITK-M-TRQ ,"FitKicksActiveFootwear,Turquoise,Medium",2017,February,462,3
  FITK-S-FUS ,"FitKicksActiveFootwear,Pink,Small",2017,February,308,2
  FITK-S-TRQ ,"FitKicksActiveFootwear,Turquoise,Small",2017,February,308,2
  FITK-XL-FUS ,"FitKicksActiveFootwear,Pink,X-Large",2017,February,308,2
  FITK-XL-TRQ ,"FitKicksActiveFootwear,Turquoise,X-Large",2017,February,308,2
  FITTB-BLU ,ThrowBackBag-Blue,2017,February,0,1
  FITW-TRQ ,"FITWRISTWallet,Turquoise",2017,February,0,1
  Ice ,FakeDécor,2017,February,570,13
  MFITK-L-BLK ,"FitKicksMens,Black,Large",2017,February,462,3
  MFITK-M-BLK ,"FitKicksMens,Black,Medium",2017,February,462,3
  MFITK-XL-BLK ,"FitKicksMens,Black,X-Large",2017,February,308,2
  SPFIT-L-GRP ,"FitkicksSpecialEdition,Graphite,Large",2017,February,462,3
  SPFIT-M-GRP ,"FitkicksSpecialEdition,Graphite,Medium",2017,February,462,3
  SPFIT-M-PRM ,"FitkicksSpecialEdition,Primal,Medium",2017,February,166,1
  SPFIT-S-GRP ,"FitkicksSpecialEdition,Graphite,Small",2017,February,308,2
  SPFIT-XL-GRP ,"FitkicksSpecialEdition,Graphite,X-Large",2017,February,308,2
  SPFITZ-LUS ,"FITZIPWaistPack,LushLife",2017,February,0,1
40160,80cmCastIronBowlPlanter/Fire,2018,February,1530,1
991120,CharlietheChameleon,2018,February,2070,6
991121,Pick-UpTruckBlue,2018,February,3350,1
991122,DisplayFitKicksFloor208,2018,February,0,1
  DIS-FITKAS48 ,DisplayFitKicks64,2018,February,0,1
  E10240 ,BrucetheBullCoolermedium,2018,February,1545,1
  E10250 ,BrucetheBullCoolerlarge,2018,February,1735,1
  E10330 ,ThePixieChicksSetof3,2018,February,13545,21
  E10500 ,DoristheDucksmall,2018,February,518,1
